"","ID","title","description","streetaddress","lat","lon","city","state","amenityfeatures","type","unclearaddress","uncleartype","Year","notes","dateadded","lastmodified","full.address","geoAddress","status"
"1","GU001","Chicken Lips","(Disco) (Some B) (Basement) Guam Hilton Hotel San Vitores Rd.",NA,13.505367,144.786076,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing,(B) - Blacks frequent","Bars/Clubs,Hotels","checked",NA,1980,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Verified Location"
"2","GU002","Mi Elena Club","(Inquire locally) (Agana)",NA,13.476282,144.750223,"Agana","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs","checked",NA,1980,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"3","GU003","Salon del Mar Lounge","('Helpful bartender - ask for Angel') (Cl. 12 midnight) Hotel Okura Pale San Vitores Rd.",NA,13.508288,144.804017,"Tumon Bay","GU","(*) - Very popular,(M) - Mixed Crowds - Some Straights,""(H) - Hotel, motel, or other overnight accomodations"",(E) - Entertainment,(OC) - Older/More Mature Crowd","Bars/Clubs,Hotels","checked",NA,1980,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"4","GU004","Hilton Hotel Beach","",NA,13.505977,144.786502,"Tumon Bay","GU","Cruisy Area","Cruising Areas,Hotels","checked",NA,1980,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Verified Location"
"5","GU005","Chicken Lips","(Disco) (Basement) (Guam Hilton Hotel San Vitores Rd.",NA,13.505367,144.786076,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing,(B) - Blacks frequent","Bars/Clubs,Hotels","checked",NA,1979,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Verified Location"
"6","GU006","DJ's","(Disco) Hotel Row Pale San Vitores Rd.",NA,13.506121,144.797529,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular","Bars/Clubs,Hotels","checked",NA,1979,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"7","GU007","Salon del Mar Lounge","('Helpful bartender - ask for Angel') (Cl. 12 midnight) Hotel Okura Pale San Vitores Rd.",NA,13.508288,144.804017,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(*) - Very popular,""(H) - Hotel, motel, or other overnight accomodations"",(E) - Entertainment,(OC) - Older/More Mature Crowd","Bars/Clubs,Hotels","checked",NA,1979,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"8","GU008","Continental Travelodge Lounge","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels","checked",NA,1978,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"9","GU009","Salon del Mar Lounge","('Helpful bartender') Hotel o Kura",NA,13.508288,144.804017,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs,Hotels","checked",NA,1978,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"10","GU010","Continental Travelodge Lounge","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels","checked",NA,1977,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"11","GU011","Salon del Mar Lounge","('Helpful bartender') Hotel o Kura",NA,13.508288,144.804017,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(OC) - Older/More Mature Crowd,(*) - Very popular","Bars/Clubs,Hotels","checked",NA,1977,NA,"2/24/2020 2:03am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"12","GU012","Continental Travelodge Lounge","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels","checked",NA,1976,NA,"2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"13","GU013","Guam Hilton Hotel Lounge","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels","checked",NA,1976,NA,"2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"14","GU014","Teraque 'BA' Beach","",NA,13.62504,144.895774,"Tumon Bay","GU","Cruisy Area","Cruising Areas","checked",NA,1976,"likely misspelling of ""Tarague Beach""","2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Verified Location"
"15","GU015","Star Cafe & Bar","Downtown, opp. Agana Loop",NA,13.476282,144.750223,"Agana","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs","checked",NA,1975,NA,"2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"16","GU016","Continental Travelodge Lounge","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels","checked",NA,1975,NA,"2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"17","GU017","Guam Hilton Hotel Lounge","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels","checked",NA,1975,NA,"2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"18","GU018","Teraque 'BA' Beach","",NA,13.62504,144.895774,"Tumon Bay","GU","Cruisy Area","Cruising Areas","checked",NA,1975,"likely misspelling of ""Tarague Beach""","2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Verified Location"
"19","GU019","Star Cafe & Bar","Downtown, opp. Agana Loop",NA,13.476282,144.750223,"Agana","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs","checked",NA,1974,NA,"2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"20","GU020","Continental Travelodge Lounge","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights,(YC) - Young and/or collegiate types,(*) - Very popular","Bars/Clubs,Hotels","checked",NA,1974,NA,"2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
"21","GU021","Guam Hilton Hotel Lounge","Hotel Strip",NA,13.508415,144.803525,"Tumon Bay","GU","(M) - Mixed Crowds - Some Straights","Bars/Clubs,Hotels","checked",NA,1974,NA,"2/24/2020 2:04am","2/24/2020 2:20am","NA, GU","unclear_coded_by_hand","Location could not be verified. General city or location coordinates used."
